user_id,question_num,attempt_num,correct,points,time
Camden,1,1,TRUE,2,-
Camden,2,1,FALSE,2,-
Camden,2,2,TRUE,1.5,-
Camden,3,1,TRUE,2,-
Camden,4,1,FALSE,2,-
Camden,4,2,FALSE,1.5,-
Camden,4,3,TRUE,1,-
Camden,5,1,TRUE,2,-
Mason,1,1,FALSE,2,-
Mason,1,2,TRUE,1.5,-
Mason,2,1,TRUE,2,-
Mason,3,1,FALSE,2,-
Mason,3,2,TRUE,1.5,-
Mason,4,1,TRUE,2,-
Mason,5,1,TRUE,2,-
Ella,1,1,FALSE,2,-
Ella,1,2,TRUE,1.5,-
Ella,2,1,TRUE,2,-
Ella,3,1,FALSE,2,-
Ella,3,2,FALSE,1.5,-
Ella,3,3,TRUE,1,-
Ella,4,1,FALSE,2,-
Ella,4,2,TRUE,1.5,-
Ella,5,1,TRUE,2,-
Ava,1,1,TRUE,2,-
Ava,2,1,FALSE,2,-
Ava,2,2,TRUE,1.5,-
Ava,3,1,TRUE,2,-
Ava,4,1,FALSE,2,-
Ava,4,2,TRUE,1.5,-
Ava,5,1,FALSE,2,-
Ava,5,2,TRUE,1.5,-
Oliver,1,1,TRUE,2,-
Oliver,2,1,TRUE,2,-
Oliver,3,1,FALSE,2,-
Oliver,3,2,FALSE,1.5,-
Oliver,3,3,TRUE,1,-
Oliver,4,1,TRUE,2,-
Oliver,5,1,FALSE,2,-
Oliver,5,2,TRUE,1.5,-
Sophia,1,1,TRUE,2,-
Sophia,2,1,TRUE,2,-
Sophia,3,1,FALSE,2,-
Sophia,3,2,TRUE,1.5,-
Sophia,4,1,TRUE,2,-
Sophia,5,1,TRUE,2,-
Jackson,1,1,TRUE,2,-
Jackson,2,1,FALSE,2,-
Jackson,2,2,FALSE,1.5,-
Jackson,2,3,TRUE,1,-
Jackson,3,1,TRUE,2,-
Jackson,4,1,FALSE,2,-
Jackson,4,2,TRUE,1.5,-
Jackson,5,1,FALSE,2,-
Jackson,5,2,TRUE,1.5,-
Amelia,1,1,FALSE,2,-
Amelia,1,2,TRUE,1.5,-
Amelia,2,1,TRUE,2,-
Amelia,3,1,FALSE,2,-
Amelia,3,2,TRUE,1.5,-
Amelia,4,1,TRUE,2,-
Amelia,5,1,TRUE,2,-
Liam,1,1,TRUE,2,-
Liam,2,1,FALSE,2,-
Liam,2,2,TRUE,1.5,-
Liam,3,1,TRUE,2,-
Liam,4,1,FALSE,2,-
Liam,4,2,TRUE,1.5,-
Liam,5,1,FALSE,2,-
Liam,5,2,TRUE,1.5,-
Emma,1,1,FALSE,2,-
Emma,1,2,TRUE,1.5,-
Emma,2,1,TRUE,2,-
Emma,3,1,FALSE,2,-
Emma,3,2,TRUE,1.5,-
Emma,4,1,FALSE,2,-
Emma,4,2,TRUE,1.5,-
Emma,5,1,TRUE,2,-